['54186K', 63.79]
['11412B', 77.47]
['84260A', 63.1]
['32092E', 56.88]
['76290C', 70.29]
['71811X', 60.41]
['3743C', 63.71]
['79163D', 73.41]
['10201A', 79.36]
['53E', 54.51]
['2854N', 46.54]
['3946S', 53.04]
['7110A', 61.21]
['4828P', 86.1]
['99040C', 54.04]
['19697W', 58.4]
['291J', 59.2]
['7983K', 60.62]
['2616K', 83.49]
['18019B', 58.4]
['29457A', 57.63]
['58418A', 41.12]
['1037B', 47.4]
['66659A', 55.17]
['74762A', 66.97]
['597B', 79.99]
['8682N', 64.41]
['34100A', 54.09]
['842T', 59.06]
['5686Z', 52.63]
['20242R', 63.15]
['9080C', 80.95]
['89040A', 81.52]
['228A', 66.92]
['10Z', 46.89]
['2142B', 57.02]
['99484A', 70.77]
['2077X', 56.36]
['1115E', 64.69]
['50810E', 78.36]
['6023F', 66.52]
['1002X', 52.2]
['7225X', 75.07]
['937X', 75.0]
['1255D', 71.43]
['15442A', 45.99]
['63936C', 43.63]
['675A', 62.21]
['62629X', 76.28]
['99989A', 76.84]
['93644F', 71.57]
['106A', 73.4]
['7862U', 84.16]
['7405R', 77.14]
['13460C', 75.2]
['8110D', 77.98]
['2410A', 74.89]
['9228C', 75.43]
['321A', 44.45]
['97673Z', 94.36]
['81208X', 75.16]
['9623D', 79.57]
['8861F', 63.19]
['38141B', 77.3]
['2011B', 82.04]
['42747M', 62.5]
['502A', 57.15]
['5150Z', 87.68]
['3388H', 72.97]
['4275V', 75.47]
['3223A', 78.45]
['6277C', 84.59]
['22111A', 59.33]
['69955X', 76.29]
['3131V', 72.54]
['16868C', 83.62]
['1469A', 84.47]
['343X', 81.81]
['96504C', 92.78]
