['75503A', 53.71]
['13176A', 59.71]
['5062S', 50.54]
['3708E', 73.65]
['99153A', 85.26]
['17711E', 65.26]
['255D', 46.48]
['2501S', 59.07]
['30204D', 52.26]
['45525C', 36.01]
['986A', 59.06]
['50105X', 63.93]
['901A', 36.84]
['654B', 54.63]
['65280A', 67.17]
['7157P', 55.72]
['57249B', 56.39]
['4154E', 74.82]
['2323G', 55.17]
['538K', 55.02]
['5956B', 80.19]
['60924A', 35.19]
['1893C', 68.14]
['7842F', 77.14]
['66994W', 69.93]
['87867D', 79.73]
['91917B', 62.01]
['3333W', 63.8]
['9039J', 55.93]
['98225J', 70.96]
['20027W', 72.32]
['10K', 60.71]
['8481S', 43.06]
['4478Y', 63.51]
['16099B', 56.03]
['63303V', 62.1]
['315D', 72.76]
['99904W', 70.96]
['3017D', 68.85]
['11101W', 85.47]
['6210M', 82.42]
['2029C', 88.1]
['44252A', 81.86]
['36070M', 73.1]
['9142W', 47.91]
['39Y', 76.86]
['7316V', 60.75]
['9364E', 66.52]
['41103A', 69.73]
['70700X', 89.65]
['2719F', 61.59]
['1082R', 86.06]
['8825S', 70.94]
['1727K', 67.0]
['18891A', 65.18]
['210F', 68.85]
['53171D', 68.19]
['8047F', 59.11]
['727R', 77.54]
['2131V', 63.71]
['33344C', 72.57]
['3142Y', 66.18]
['14895B', 69.18]
['26275A', 47.25]
['96789Z', 83.39]
['392X', 71.98]
['81Z', 71.19]
['74074Y', 74.61]
['95111V', 70.18]
['1028A', 76.94]
['1357X', 83.71]
['334U', 84.01]
['6842K', 83.03]
['9909W', 77.35]
['3796F', 77.26]
['1228S', 64.07]
['80508X', 75.0]
['21417A', 81.32]
['7925S', 57.12]
['5408D', 86.32]
['81988E', 66.97]
['77787B', 81.07]
