['66852B', 39.92]
['79912B', 37.43]
['119B', 58.19]
['7882X', 39.07]
['10821D', 50.21]
['7686C', 64.53]
['64061A', 92.06]
['2242A', 68.63]
['4148S', 59.73]
['90601C', 76.16]
['507A', 72.32]
['8892X', 66.41]
['30029B', 66.79]
['1764Y', 68.76]
['99040X', 67.33]
['43146X', 67.02]
['2496N', 65.08]
['355X', 60.07]
['25146D', 66.38]
['95071H', 50.76]
['35993A', 52.42]
['4478E', 68.7]
['11688A', 69.48]
['675E', 71.67]
['2654R', 83.38]
['1011T', 69.47]
['884A', 62.79]
['643A', 83.15]
['7282W', 62.59]
['295V', 41.47]
['45434G', 64.36]
['3484X', 57.39]
['7121B', 61.96]
['51581S', 74.74]
['81218G', 67.87]
['12Y', 54.22]
['8787E', 49.53]
['1079X', 83.47]
['333R', 74.6]
['948J', 74.95]
['3264C', 59.13]
['9821A', 79.75]
['70291E', 74.94]
['48425A', 81.34]
['4886Y', 57.67]
['1687C', 61.19]
['77711B', 58.52]
['60053Y', 77.7]
['58A', 75.76]
['32792B', 77.91]
['96504P', 62.22]
['1159X', 75.38]
['6121A', 65.87]
['5776E', 55.4]
['2918D', 57.56]
['74947N', 67.28]
['14012H', 65.29]
['3141V', 71.6]
['20605A', 84.97]
['99751Z', 64.22]
['20002G', 79.74]
['56727A', 71.58]
['3796B', 71.56]
['9364A', 83.14]
['248B', 72.22]
['8000C', 80.68]
['71999A', 77.43]
['15545G', 57.81]
['84886A', 79.52]
['97871R', 76.48]
['5203G', 91.96]
['10B', 81.95]
['1353N', 79.61]
['2131G', 67.92]
['6627X', 81.89]
['8223X', 41.9]
['9123W', 86.08]
['62880C', 80.2]
['2011J', 89.52]
['39599B', 77.94]
