['81785B', 79.52]
['6127B', 71.68]
['2290A', 46.6]
['91917A', 60.72]
['95071Z', 41.93]
['9142B', 49.41]
['75160Z', 67.95]
['1356X', 53.53]
['21052A', 60.98]
['8030A', 70.15]
['1082J', 69.81]
['334S', 62.93]
['3142W', 61.35]
['967T', 60.33]
['3583A', 79.09]
['7157A', 74.5]
['255A', 39.26]
['5062F', 40.14]
['9364D', 73.76]
['96671B', 67.79]
['57000A', 44.04]
['14344M', 57.4]
['8349U', 67.42]
['36070J', 79.51]
['70478S', 80.28]
['52575C', 78.85]
['2707X', 68.99]
['3796E', 73.4]
['6842C', 69.82]
['8823E', 50.37]
['16099A', 73.95]
['3264Z', 51.2]
['11777Y', 64.1]
['63031B', 51.91]
['98060C', 65.0]
['50075A', 58.52]
['1791V', 52.32]
['4478U', 60.66]
['20020X', 75.23]
['7701X', 61.1]
['5864B', 58.99]
['2131R', 81.48]
['8931R', 72.27]
['7316R', 77.87]
['4148Z', 77.98]
['536C', 75.76]
['99067B', 79.02]
['652A', 82.63]
['30204A', 67.2]
['10F', 48.89]
['17505B', 71.56]
['33007Y', 69.24]
['2025D', 54.46]
['80001B', 79.72]
['7925B', 76.92]
['355Z', 72.16]
['1023E', 64.65]
['18888A', 60.76]
['5327A', 69.93]
['39K', 78.77]
['2496Y', 77.27]
['60883W', 65.0]
['727G', 72.92]
['169A', 72.38]
['99904E', 73.7]
['77786B', 62.03]
['40684D', 74.96]
['87265B', 67.43]
['11101B', 91.8]
['886Y', 76.33]
['9909B', 51.35]
['66994P', 79.38]
['45434M', 76.41]
['81X', 54.84]
['1698X', 68.14]
['1200A', 65.82]
['315B', 70.12]
['65162C', 79.26]
['72711P', 72.63]
