['15352B', 58.94]
['1737W', 61.94]
['76251A', 55.0]
['839A', 49.57]
['8861E', 82.82]
['93455C', 54.87]
['97221A', 63.33]
['50524C', 77.8]
['3168T', 70.79]
['2142A', 37.7]
['3388C', 37.86]
['1460T', 62.62]
['78889S', 58.29]
['1037A', 79.93]
['53C', 55.98]
['13459A', 73.48]
['11254Y', 45.66]
['96321J', 71.87]
['63840T', 71.74]
['69403A', 80.55]
['7983F', 73.8]
['343K', 62.01]
['400M', 66.84]
['288A', 72.66]
['99921B', 84.42]
['2072X', 66.8]
['6008C', 76.23]
['2602B', 62.58]
['16346X', 64.61]
['5150D', 56.61]
['929N', 64.47]
['29143C', 58.13]
['22020X', 57.86]
['3743A', 45.99]
['47800A', 76.71]
['82997A', 56.55]
['2833A', 73.65]
['100A', 87.89]
['54001Z', 65.25]
['74485B', 79.27]
['4815B', 43.87]
['3885A', 56.14]
['6277B', 58.56]
['71811N', 78.37]
['2396C', 58.88]
['17924B', 71.16]
['5686V', 69.57]
['44691R', 75.13]
['99319A', 58.28]
['34001A', 61.83]
['221X', 94.86]
['9185A', 51.71]
['8675V', 56.95]
['38053B', 38.74]
['10101P', 45.67]
['3118A', 67.87]
['10W', 69.11]
['6891B', 64.06]
['9447G', 69.93]
['88909K', 66.8]
['1115D', 65.0]
['1239E', 81.62]
['8110C', 86.8]
['315S', 67.99]
['9065P', 54.64]
['42700X', 75.69]
['66475C', 81.95]
['7405N', 73.85]
['31666A', 78.21]
['19589A', 88.13]
['98548J', 77.16]
['7862D', 72.83]
['57711X', 68.15]
['80920A', 61.54]
['666X', 75.65]
['4214X', 71.23]
['586E', 68.27]
['20164X', 76.59]
['62629W', 84.65]
['7225F', 77.91]
['1002T', 82.13]
['2011A', 93.48]
