['30077D', 68.59]
['40169A', 43.45]
['719E', 62.02]
['14241A', 46.92]
['72116A', 59.84]
['62961X', 53.4]
['79912C', 77.17]
['2941X', 56.1]
['18882A', 53.6]
['8926W', 74.26]
['2252Y', 67.06]
['3264D', 55.92]
['81785A', 73.62]
['25565A', 56.11]
['43272Z', 43.07]
['3142B', 43.53]
['3565X', 90.23]
['96671A', 66.27]
['9871T', 48.8]
['1691A', 30.25]
['355Y', 60.84]
['85711A', 68.33]
['4148V', 74.97]
['3796D', 57.36]
['6741A', 55.38]
['77717B', 73.48]
['17222A', 49.66]
['5013X', 72.48]
['11017Y', 79.32]
['7121F', 74.81]
['7316E', 70.77]
['20002X', 52.28]
['20700E', 62.6]
['5776K', 68.61]
['91416A', 67.21]
['36070F', 65.44]
['75160C', 66.6]
['2654X', 50.51]
['70407R', 79.23]
['64846B', 71.88]
['39H', 78.22]
['1011Z', 51.2]
['95071X', 75.91]
['301S', 73.69]
['1356B', 86.04]
['8000E', 79.14]
['32881X', 70.19]
['1790B', 69.81]
['4478M', 68.44]
['15801E', 72.34]
['248D', 76.15]
['955R', 54.6]
['1168A', 84.87]
['11777C', 76.64]
['60883V', 74.59]
['9364C', 96.88]
['56727D', 82.81]
['643T', 66.35]
['99067A', 77.46]
['1082E', 76.3]
['97934W', 70.33]
['8800T', 79.42]
['66994A', 90.75]
['2131H', 82.01]
['507E', 72.6]
['6121C', 83.73]
['2011K', 84.85]
['8349G', 91.13]
['52455A', 68.55]
['49637A', 74.01]
['7899X', 55.33]
['151T', 91.22]
['334B', 85.51]
['884B', 56.7]
['2496W', 76.21]
['62A', 59.23]
['5225A', 69.9]
['10C', 75.41]
['7700R', 69.11]
['45434H', 68.28]
['9123X', 87.19]
['99904B', 85.01]
