['18908X', 59.83]
['93303X', 40.37]
['17760X', 53.97]
['3350C', 72.29]
['901Z', 37.02]
['30410V', 48.82]
['27508D', 58.41]
['46692A', 38.3]
['654V', 62.0]
['99153Z', 31.57]
['21444J', 41.89]
['550C', 68.95]
['74177H', 53.79]
['3723X', 84.8]
['1082S', 60.83]
['5956D', 63.61]
['97027E', 59.08]
['4583X', 44.77]
['3017X', 58.25]
['8568A', 79.31]
['7187K', 64.29]
['987X', 82.88]
['14904B', 47.65]
['393C', 49.68]
['5430A', 69.05]
['88019A', 44.36]
['42368B', 67.14]
['16329C', 59.91]
['6844B', 63.14]
['9181F', 54.57]
['11124P', 71.93]
['95569C', 73.83]
['9039N', 74.6]
['66086J', 51.78]
['91U', 67.4]
['7842P', 71.86]
['6219A', 71.71]
['2335D', 40.97]
['63310A', 57.33]
['1028Z', 59.75]
['70761S', 75.59]
['75503Z', 78.59]
['255M', 75.15]
['98548D', 62.31]
['4154V', 78.84]
['10N', 56.51]
['39Z', 59.95]
['1898A', 79.79]
['2131Y', 84.35]
['36867D', 52.44]
['2550R', 59.42]
['50252A', 54.58]
['57249C', 81.37]
['78792E', 86.06]
['20096G', 67.62]
['338A', 75.62]
['80550F', 76.14]
['7316X', 72.28]
['3145H', 60.92]
['1394A', 83.4]
['44252N', 76.89]
['33418X', 57.6]
['53171E', 72.59]
['315E', 80.77]
['1229W', 69.79]
['3796H', 70.1]
['1727N', 56.64]
['61002G', 62.4]
['99904X', 63.58]
['729S', 78.56]
['9909Y', 74.63]
['8829C', 82.65]
['5069R', 50.26]
['2055A', 72.48]
['82855S', 81.02]
['8076X', 85.85]
['210T', 72.22]
['7925X', 75.81]
['13358C', 73.63]
['9364H', 89.69]
['2775V', 86.73]
