['3018A', 58.89]
['99197T', 49.64]
['16346W', 67.44]
['1430X', 49.23]
['67732A', 81.99]
['20131A', 44.91]
['654X', 73.34]
['57660W', 53.61]
['1727R', 76.47]
['7983A', 64.13]
['74177M', 50.12]
['1034A', 34.18]
['2069A', 43.61]
['44680D', 42.63]
['8861A', 74.5]
['28175A', 45.1]
['3723Y', 56.55]
['50421A', 48.48]
['11124R', 73.59]
['99921A', 65.85]
['94M', 61.84]
['8076Z', 79.59]
['66086V', 56.02]
['53817D', 68.53]
['46846T', 45.83]
['75548D', 53.57]
['7225B', 64.25]
['2567B', 66.24]
['93455B', 41.39]
['400C', 69.98]
['282S', 50.76]
['19109A', 53.0]
['3818C', 76.44]
['30809S', 30.59]
['78887B', 79.0]
['1000A', 77.02]
['2813A', 75.19]
['7405K', 65.34]
['13444A', 75.97]
['71414A', 63.25]
['1898R', 72.01]
['4154Z', 67.96]
['9039Z', 59.85]
['8568C', 58.45]
['82855X', 60.53]
['22000A', 59.61]
['1233A', 76.29]
['17924A', 68.48]
['96138A', 59.06]
['10T', 69.02]
['343B', 58.71]
['550X', 73.23]
['6865D', 64.47]
['10009A', 75.05]
['98548H', 77.71]
['5509E', 74.73]
['7842X', 85.92]
['5069Z', 83.93]
['2139X', 77.42]
['9416U', 67.85]
['63310K', 83.77]
['36905X', 63.71]
['34000X', 54.8]
['210Z', 81.67]
['61391W', 78.62]
['9181S', 67.88]
['97140A', 71.61]
['42700E', 78.47]
['5956F', 70.05]
['920B', 82.07]
['781X', 59.15]
['3388A', 67.15]
['80708Y', 77.72]
['2360N', 82.28]
['6264X', 54.91]
['1095R', 78.5]
['46B', 48.47]
['315N', 69.88]
['88909A', 69.4]
['4610H', 74.85]
['3150A', 80.09]
['14947F', 85.75]
