['66800K', 64.82]
['242W', 57.26]
['1764X', 74.51]
['48321H', 97.46]
['89227A', 68.57]
['43146C', 60.57]
['3249V', 46.14]
['71909Z', 77.28]
['79267V', 51.57]
['2915X', 63.61]
['13974A', 65.02]
['84260C', 71.58]
['3773W', 58.9]
['1158X', 62.28]
['295R', 48.76]
['675D', 63.65]
['8892A', 50.12]
['18687A', 63.61]
['99040S', 33.08]
['99751F', 66.26]
['11495E', 60.51]
['59200X', 50.59]
['6104G', 64.5]
['34690A', 57.77]
['24842T', 77.96]
['7882B', 47.88]
['3457C', 58.98]
['9727A', 38.35]
['4405W', 41.32]
['77275B', 59.69]
['56H', 77.05]
['45250J', 38.51]
['502X', 71.54]
['8787A', 69.12]
['10478K', 78.26]
['29760E', 53.96]
['97834C', 65.33]
['871X', 82.17]
['5735H', 72.12]
['7282K', 65.92]
['64040C', 68.51]
['19800A', 69.36]
['603B', 49.16]
['9328Z', 79.21]
['77353N', 50.37]
['96504E', 43.4]
['2105A', 69.06]
['355U', 57.28]
['2158Z', 72.62]
['4886W', 64.24]
['17022A', 55.83]
['81218C', 73.28]
['7580Z', 57.07]
['32174C', 58.71]
['1353M', 71.47]
['1669X', 48.83]
['6627S', 74.97]
['8110V', 80.15]
['74947K', 86.45]
['12X', 70.76]
['39313Z', 81.81]
['94517X', 75.54]
['62880A', 65.62]
['2654P', 93.23]
['5155E', 80.22]
['2496J', 63.22]
['945C', 72.87]
['20541B', 48.41]
['15442C', 67.84]
['9123C', 92.71]
['3135B', 85.8]
['51581E', 68.57]
['7996D', 64.44]
['55286A', 79.76]
['7110H', 71.1]
['1064B', 74.44]
['4082B', 82.93]
['2011F', 67.67]
['323V', 86.94]
['1010W', 84.25]
