['53F', 32.33]
['59162A', 41.32]
['2651A', 41.44]
['1616Y', 64.18]
['45250G', 24.82]
['93771C', 54.93]
['74762B', 61.0]
['51548A', 66.09]
['597D', 72.74]
['13907F', 65.83]
['9080S', 57.53]
['20480Y', 76.26]
['945A', 60.22]
['84260B', 64.74]
['3249R', 54.3]
['22204E', 56.26]
['1294X', 75.18]
['64040B', 62.15]
['19697Z', 55.9]
['3400F', 52.8]
['1745A', 40.28]
['42747W', 56.12]
['62629Y', 82.72]
['7983S', 63.02]
['39110C', 59.42]
['1115F', 59.97]
['97779X', 65.82]
['96504D', 53.06]
['2142Z', 78.2]
['355A', 45.54]
['4330R', 68.56]
['34532B', 71.87]
['7225Z', 59.06]
['99621B', 51.05]
['11442X', 48.72]
['7110B', 67.57]
['79163F', 71.55]
['70291A', 76.45]
['8756S', 65.08]
['15442B', 54.51]
['5691X', 67.26]
['502W', 85.51]
['12C', 64.89]
['89040B', 84.83]
['66799G', 64.24]
['29760D', 48.98]
['32092G', 72.6]
['2872X', 67.02]
['47969A', 73.91]
['4886S', 83.54]
['54677A', 63.51]
['1051X', 72.45]
['77174B', 67.26]
['2459C', 66.78]
['3759X', 78.99]
['8110R', 90.7]
['71909X', 76.32]
['99999P', 70.06]
['1010N', 57.24]
['847X', 55.25]
['675C', 65.35]
['99040E', 51.56]
['2084K', 81.18]
['3134G', 73.59]
['81218A', 67.31]
['5155A', 80.07]
['9231A', 82.71]
['6030J', 72.6]
['18190D', 85.98]
['7870X', 65.43]
['4024V', 79.21]
['321C', 81.44]
['8889A', 89.15]
['2011D', 82.68]
['229V', 96.15]
['10278A', 67.18]
['6627A', 78.87]
['16868K', 80.54]
['7580P', 75.09]
['293Z', 72.53]
['106X', 81.52]
['9698B', 79.47]
